property_id	postcode	sector	district	area	region	coordinates_x	coordinates_y	transaction_date	transaction_price	property_type	property_style	bedrooms	living_area
7475193	dn33 3rs	dn33 3	dn33	dn	north east	525581	406754	08/01/2021	114500	house	end-terrace	2	50
7470526	dn33 2bb	dn33 2	dn33	dn	north east	526468	407251	17/07/2020	140000	house	semi-detached	3	98
1095238	b98 0bj	b98 0	b98	b	w midlands	407406	266135	24/09/2021	207500	house	semi-detached	2	53
1108985	b98 8et	b98 8	b98	b	w midlands	404925	268070	21/09/2020	152000	house	mid-terrace	2	71
2574875	br2 0ur	br2 0	br2	br	london	539807	168116	28/02/2022	267000	flat	semi-detached	1	51
1102955	b98 7na	b98 7	b98	b	w midlands	404696	266122	02/08/2022	193500	house	mid-terrace	3	86
56125557	dn33 3tr	dn33 3	dn33	dn	north east	525785	406304	28/01/2022	195000	house	detached		84
2576887	br2 7bx	br2 7	br2	br	london	540511	166064	08/09/2020	737000	house	detached	3	103
2580727	br2 8bl	br2 8	br2	br	london	543406	167413	13/08/2021	750000	house	semi-detached	3	126
1114254	b98 9ju	b98 9	b98	b	w midlands	406439	269073	18/06/2020	230000	house	semi-detached		70
2572342	br2 0nb	br2 0	br2	br	london	539086	169404	09/10/2019	277500	flat	enclosed end-terrace	1	51
27716816	br2 9ex	br2 9	br2	br	london	540690	168437	05/01/2022	263000	flat	enclosed mid-terrace	1	56
2578952	br2 7nj	br2 7	br2	br	london	540296	166728	03/07/2020	468000	house	semi-detached	4	137
53468202	br2 9gt	br2 9	br2	br	london	541904	167315	14/01/2021	535000	house	mid-terrace		113
1112282	b98 8sg	b98 8	b98	b	w midlands	406153	269175	23/08/2019	324995	house	detached	4	98
2578910	br2 7ng	br2 7	br2	br	london	540408	166745	24/01/2023	770000	house	semi-detached	4	107
2577855	br2 7hu	br2 7	br2	br	london	539691	166375	24/03/2023	700000	house	semi-detached	3	100
1111908	b98 8rg	b98 8	b98	b	w midlands	405682	268690	31/10/2019	250000	bungalow	detached		70
1114758	b98 9lh	b98 9	b98	b	w midlands	406637	268956	30/03/2023	155000	flat	mid-terrace	2	65
2588124	br2 9qe	br2 9	br2	br	london	541828	167727	22/11/2019	300000	house	end-terrace	2	57
1100554	b98 0su	b98 0	b98	b	w midlands	407698	266472	19/12/2019	112475	house	end-terrace	3	76
2571003	br2 0et	br2 0	br2	br	london	539791	168906	29/10/2021	552000	house	semi-detached	3	106
51739413	br2 0qb	br2 0	br2	br	london	539707	168406	05/05/2022	410000	maisonette	enclosed end-terrace	2	83
1106181	b98 7uf	b98 7	b98	b	w midlands	405761	264220	16/08/2019	380000	house	detached	4	150
2577473	br2 7et	br2 7	br2	br	london	539854	165965	25/02/2021	300000	flat	end-terrace	3	79
7474025	dn33 3ht	dn33 3	dn33	dn	north east	526056	405543	23/10/2020	160000	house	detached	3	87
1103616	b98 7pg	b98 7	b98	b	w midlands	405270	266298	10/10/2022	290500	house	semi-detached	3	102
7472600	dn33 2qd	dn33 2	dn33	dn	north east	526523	405309	03/06/2021	310000	house	detached	5	119
2576928	br2 7by	br2 7	br2	br	london	540423	165634	27/09/2019	1170000	house	detached	5	232
2589126	br2 9sl	br2 9	br2	br	london	541897	167728	07/02/2020	480000	house	mid-terrace	3	96
1114343	b98 9jx	b98 9	b98	b	w midlands	406461	268972	29/11/2021	326500	house	detached	4	125
51396918	dn33 3tf	dn33 3	dn33	dn	north east	525978	406469	12/03/2021	253000	house	detached	4	141
7473196	dn33 3bj	dn33 3	dn33	dn	north east	526239	405087	28/06/2019	135000	bungalow	semi-detached		69
23869761	sw7 4xh	sw7 4	sw7	sw	london	525954	178940	12/08/2019	375000	flat	mid-terrace	0	38
2574754	br2 0uf	br2 0	br2	br	london	539511	167724	16/12/2020	620000	house	semi-detached	3	135
1102023	b98 7he	b98 7	b98	b	w midlands	405280	266870	27/05/2022	276000	house	semi-detached	3	86
2581579	br2 8dz	br2 8	br2	br	london	543299	167175	06/04/2020	385000	house	semi-detached	3	88
1114236	b98 9ju	b98 9	b98	b	w midlands	406426	269146	19/02/2021	210000	house	semi-detached	3	70
2572847	br2 0pq	br2 0	br2	br	london	539693	168496	03/12/2021	265000	flat	enclosed end-terrace	1	47
55035577	b98 9et	b98 9	b98	b	w midlands	409483	267751	01/04/2021	214000	flat	semi-detached		65
1098025	b98 0lw	b98 0	b98	b	w midlands	407126	267620	16/06/2021	277500	house	semi-detached	4	99
2580287	br2 8an	br2 8	br2	br	london	542597	167651	18/06/2020	782500	house	semi-detached	4	166
1112273	b98 8sf	b98 8	b98	b	w midlands	406122	269229	27/02/2019	287500	house	detached	4	116
28586896	dn33 3rz	dn33 3	dn33	dn	north east	525339	406765	10/09/2020	145000	house	semi-detached	3	83
2583669	br2 8pg	br2 8	br2	br	london	542385	165808	26/07/2022	675000	house	semi-detached		110
